Gene	experiment	X18MM1
ECs0834	X18MM1	230
ECs0835	X18MM1	22
ECs0836	X18MM1	16
ECs0837	X18MM1	358
ECs0838	X18MM1	26
ECs0839	X18MM1	96
ECs0840	X18MM1	53
ECs0841	X18MM1	35
ECs0842	X18MM1	712
ECs0843	X18MM1	6
ECs0844	X18MM1	37
ECs0845	X18MM1	50
ECs0846	X18MM1	201
ECs0847	X18MM1	502
ECs0848	X18MM1	50
ECs0849	X18MM1	21
ECs0850	X18MM1	1131
ECs0851	X18MM1	7301
ECs0852	X18MM1	18607
ECs0853	X18MM1	14470
ECs0854	X18MM1	10662
ECs0855	X18MM1	3831
ECs0856	X18MM1	4936
ECs0857	X18MM1	9783
ECs0858	X18MM1	5118
ECs0859	X18MM1	10930
ECs0860	X18MM1	3747
ECs0861	X18MM1	2158
ECs0862	X18MM1	626
ECs0863	X18MM1	1836
ECs0864	X18MM1	3877
ECs0865	X18MM1	128
ECs0866	X18MM1	1491
ECs0867	X18MM1	2585
ECs0868	X18MM1	2112
ECs0869	X18MM1	2104
ECs0870	X18MM1	1635
ECs0871	X18MM1	1750
ECs0872	X18MM1	4467
ECs0873	X18MM1	3048
ECs0874	X18MM1	1696
ECs0875	X18MM1	19190
ECs0876	X18MM1	190
ECs0877	X18MM1	3041
ECs0878	X18MM1	2102
ECs0879	X18MM1	3600
ECs0880	X18MM1	6278
ECs0881	X18MM1	374
ECs0882	X18MM1	549
ECs0883	X18MM1	667
ECs0884	X18MM1	484
ECs0885	X18MM1	1153
ECs0886	X18MM1	2124
ECs0887	X18MM1	4164
ECs0888	X18MM1	3839
ECs0889	X18MM1	18159
ECs0890	X18MM1	54561
ECs0891	X18MM1	2758
ECs0892	X18MM1	136037
ECs0893	X18MM1	1669
ECs0894	X18MM1	1428
ECs0895	X18MM1	1159
ECs0896	X18MM1	10368
ECs0897	X18MM1	30434
ECs0898	X18MM1	4318
ECs0899	X18MM1	2051
ECs0900	X18MM1	396
ECs0901	X18MM1	87
ECs0902	X18MM1	60
