mysql> select id, accession from sequence where organism like 'Es%';
+------+-----------+
| id   | accession |
|  741 | ECs0724   |
|  742 | ECs0725   |
|  743 | ECs0726   |
|  744 | ECs0727   |
|  745 | ECs0728   |
|  746 | ECs0729   |
|  747 | ECs0730   |
|  748 | ECs0731   |
|  749 | ECs0732   |
|  750 | ECs0733   |
|  751 | ECs0734   |
|  752 | ECs0735   |
|  753 | ECs0736   |
|  754 | ECs0737   |
|  755 | ECs0738   |
|  756 | ECs0739   |
|  757 | ECs0740   |
|  758 | ECs0741   |
|  759 | ECs0742   |
|  760 | ECs0743   |
|  761 | ECs0744   |
|  762 | ECs0745   |
|  763 | ECs0746   |
|  764 | ECs0747   |
|  765 | ECs0748   |
|  766 | ECs0749   |
|  767 | ECs0750   |
|  768 | ECs0751   |
|  769 | ECs0752   |
|  770 | ECs0753   |
|  771 | ECs0754   |
|  772 | ECs0755   |
|  773 | ECs0756   |
|  774 | ECs0757   |
|  775 | ECs0758   |
|  776 | ECs0759   |
|  777 | ECs0760   |
|  778 | ECs0761   |
|  779 | ECs0762   |
|  780 | ECs0763   |
|  781 | ECs0764   |
|  782 | ECs0765   |
|  783 | ECs0766   |
|  784 | ECs0767   |
|  785 | ECs0768   |
|  786 | ECs0769   |
|  787 | ECs0770   |
|  788 | ECs0771   |
|  789 | ECs0772   |
|  790 | ECs0773   |
|  791 | ECs0774   |
|  792 | ECs0775   |
|  793 | ECs0776   |
|  794 | ECs0777   |
|  795 | lysT      |
|  796 | valT      |
|  797 | lysW      |
|  798 | valZ      |
|  799 | lysY      |
|  800 | lysZ      |
|  801 | ECs0778   |
|  802 | ECs0779   |
|  803 | ECs0780   |
|  804 | ECs0781   |
|  805 | ECs0782   |
|  806 | ECs0783   |
|  807 | ECs0784   |
|  808 | ECs0785   |
|  809 | ECs0786   |
|  810 | ECs0787   |
|  811 | ECs0788   |
|  812 | ECs0789   |
|  813 | ECs0790   |
|  814 | ECs0791   |
|  815 | ECs0792   |
|  816 | ECs0793   |
|  817 | ECs0794   |
|  818 | ECs0795   |
|  819 | ECs0796   |
|  820 | ECs0797   |
|  821 | ECs0798   |
|  822 | ECs0799   |
|  823 | ECs0800   |
|  824 | ECs0801   |
|  825 | ECs0802   |
|  826 | ECs0803   |
|  827 | ECs0804   |
|  828 | ECs0805   |
|  829 | ECs0806   |
|  830 | ECs0807   |
|  831 | ECs0808   |
|  832 | ECs0809   |
|  833 | ECs0810   |
|  834 | ECs0811   |
|  835 | ECs0812   |
|  836 | ECs0813   |
|  837 | ECs0814   |
|  838 | ECs0815   |
|  839 | ECs0816   |
|  840 | ECs0817   |
|  841 | ECs0818   |
|  842 | ECs0819   |
|  843 | ECs0820   |
